1	0	0	0.00	1980-02-09	0.000000	0.000000	0.00	0.00	0.00	40
2	0	0	0.00	1980-05-30	0.000000	0.000000	0.00	0.00	0.00	151
3	4	29	25.78	1996-02-29	18.190000	-67.080000	28.30	4.10	0.00	60
4	14	35	22.13	1997-07-31	18.690000	-66.690000	17.70	4.00	0.00	212
5	10	27	2.57	1998-04-26	18.220000	-67.090000	19.80	3.60	0.00	116
6	19	41	33.87	1999-01-18	18.770000	-67.150000	17.90	4.50	0.00	18
7	12	35	32.91	1999-08-07	18.762000	-66.864000	63.40	4.50	0.00	219
8	18	54	9.12	2000-12-11	19.070000	-67.058000	46.90	4.90	0.00	346
9	7	47	6.01	2001-04-23	18.133000	-66.310000	18.90	3.70	0.00	113
10	20	45	57.56	2001-10-17	18.366000	-67.617000	25.10	4.30	0.00	290
11	4	14	6.78	2001-11-27	17.683000	-68.043000	33.70	4.80	0.00	331
12	16	53	18.81	2002-05-11	17.943000	-64.771000	25.00	4.20	0.00	131
13	12	48	38.43	2002-06-12	18.185000	-65.066000	24.90	4.60	0.00	163
14	2	47	7.87	2002-06-13	17.971000	-64.854000	24.70	4.20	0.00	164
15	15	24	23.98	2002-06-20	18.242000	-66.297000	6.20	4.00	0.00	171
16	16	11	58.48	2002-08-17	18.056000	-66.401000	15.50	3.40	0.00	229
17	4	1	6.02	2002-09-07	18.093000	-66.178000	2.10	3.50	0.00	250
18	6	57	3.76	2003-02-17	18.717000	-64.491000	43.60	4.60	0.00	48
19	1	9	55.19	2003-03-21	18.066000	-68.127000	97.20	5.10	0.00	80
20	18	25	42.41	2003-03-22	17.988000	-67.218000	1.60	4.20	0.00	81
21	12	57	1.06	2003-05-07	18.650000	-65.003000	116.20	4.30	0.00	127
22	19	7	0.33	2003-07-08	18.088000	-67.194000	49.50	4.10	0.00	189
23	12	22	29.00	2003-08-11	18.628000	-66.783000	20.70	3.80	0.00	223
24	8	45	41.35	2004-05-18	18.070000	-66.941000	8.20	3.30	0.00	139
25	20	44	53.55	2004-08-02	17.782000	-66.521000	2.60	2.60	0.00	215
26	19	45	47.14	2004-12-11	18.812000	-64.719000	24.80	4.50	0.00	346
27	4	27	11.27	2005-01-25	18.070000	-65.701000	8.00	3.30	0.00	25
